arstists_with_nations
artist; nation
kirkiimad;RU
Oliver Tree;EN
Ваня Дмитриенко;RU
ATL;RU
INSTASAMKA, MONEYKEN;RU
Ramil', Rompasso;RU
Croupie;RU
Amaarae, Kali Uchis, Moliy;EN
Marie Madeleine;EN
LOLIWZ;RU
Joel Corry, Jax Jones, Charli XCX, Saweetie;EN
Где Фантом?;RU
Coldplay, BTS;EN
Galibri & Mavik;RU
PHARAOH;RU
LIL KRYSTALLL, Лоя (5sta Family);RU
KALUSH, Kalush Orchestra, The Rasmus;UA
MORGENSHTERN, The Limba;RU
MORGENSHTERN, LSP;RU
MORGENSHTERN, ENTYPE;RU
MORGENSHTERN, Eldzhey;RU
g3ox_em;EN
(G)I-DLE;EN
Taylor Swift;EN
Oxxxymiron, EIGHTEEN;RU
OG Buda, Big Baby Tape;RU
OG Buda, 163ONMYNECK;RU
OG Buda, Jetix;RU
OG Buda, Брутто;RU
OG Buda, BUSHIDO ZHO, uglystephan, WormGanger;RU
OG Buda, 163ONMYNECK, Yanix;RU
OG Buda, Scally Milano;RU
OG Buda, SODA LUV;RU
OG Buda, YN Jay;RU
OG Buda, INDABLACK, 104;RU
Gibbs;EN
SLAVA MARLOW;RU
OG Buda, 163ONMYNECK, KrispyLife Kidd;RU
ALEKS ATAMAN, FINIK;RU
Egor Kreed, MakSim;RU
КОСМОНАВТОВ НЕТ, дипинс;RU
163ONMYNECK, OG Buda;RU
163ONMYNECK, Yanix, FEARMUCH, Scally Milano;RU
Konfuz;RU
Вектор А;RU
DOROFEEVA;UA
Slattcrank, LUCIE;RU
Labrinth;EN
хочуспать;RU
LXNER, quiizzzmeow;RU
Сны Саламандры;RU
Jung Kook;EN
Daybe, Tenderlybae;UA
ANIKV, SALUKI;RU
163ONMYNECK, Scally Milano;RU
MUKKA;RU
Rebzyyx, hoshie star;EN
Антон Токарев;RU
Yung Lean;EN
163ONMYNECK, SEEMEE;RU
3TERNITY, OG Buda;RU
MORGENSHTERN, Aarne;RU
дипинс;RU
O.G EzzY;RU
Metallica;EN
АКУЛИЧ, vafom;RU
Tartak;UA
LSP, MORGENSHTERN;RU
EeOneGuy;UA
Zhadan i Sobaky;UA
