rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
120,"spotify:track:2fIBmScNzkGmSJ3y2XsmEI","Miyagi & Andy Panda","Yamakasi","Hajime Records",6,135,47,"25001"
121,"spotify:track:2lDgdWIGLYuk74pDeRPgPF","Måneskin","Chosen","RCA Records Label",83,83,3,"24976"
122,"spotify:track:2z8QxqQ6Kesq4NFfi7A638","Skryptonite, 104","Цепи","Gazgolder Records",60,130,48,"24901"
123,"spotify:track:6oVJVkwrqYpbabgi39J49z","MAYOT","Лилия (prod. by DooMee)","cplus",48,121,23,"24612"
124,"spotify:track:19guFw87TvSkoxnC9EBu2Y","Mnogoznaal","Колхозник","MNOGOZNAAL",15,134,48,"24519"
125,"spotify:track:0UbepzIf8xGtqFxk3udMNn","MORGENSHTERN","ЧЁРНЫЙ БУМЕР","Atlantic Records Russia",14,71,3,"24342"
126,"spotify:track:4LMDURDB7ZcfDZKhLKyG5D","OG Buda, Egor Kreed, MAYOT, SODA LUV","Сайфер","KISSKOALA",53,145,6,"24339"
127,"spotify:track:1AuvZZkmzlsArfACRNk97B","ROCKET","Monday","Still Only",13,127,34,"24315"
128,"spotify:track:7FdUvDkaE24o3FPIWTvzv2","Imagine Dragons","Follow You","KIDinaKORNER/Interscope Records",21,141,13,"24282"
129,"spotify:track:7gskwSSJ0u2KijosXJorYT","LOVV66, OG Buda","Неправильно","KISSKOALA",34,132,8,"24255"
130,"spotify:track:4vPOGPHcjxdHZ1caxiHiQh","MiyaGi & Endspiel, Rem Digga","I Got Love","Hajime Records",92,142,42,"24056"
131,"spotify:track:3858LZVkoxKeKelqBGHB6K","УННВ","Без даты","УННВ",94,143,25,"24056"
132,"spotify:track:3QT3u8bFc8mnOUkXL1k2R6","Yanix, Poshlaya Molly","Из ладони в ладонь","Yanix",132,-1,1,"24035"
133,"spotify:track:4DcMqvjv5pcYVu9jTBhpDH","ROCKET","Инкассатор","Still Only",65,129,48,"24009"
134,"spotify:track:2SGZmcm0WTf84i4VqzUl1p","Eldzhey","Candy Flip","OOO Universal Music",134,-1,1,"23764"
135,"spotify:track:1ABG6ke9SdUK9YayVafbcX","Måneskin","Le parole lontane","RCA Records Label",81,81,2,"23483"
136,"spotify:track:1aAcW69jxv3pp3I84oZGqP","Korol i Shut","Дурак и молния","United Music Group",12,131,22,"23481"
137,"spotify:track:4tP3JZw4NcKQJitu7F3SCa","Папин Олимпос","Динозаврики","Streaming Club, under exclusive license to Rhymes Music Inc.",40,136,18,"23478"
138,"spotify:track:1P9oRiZJWnxe2pZmYUZ5eC","Skryptonite","Это любовь","Gazgolder Records",78,148,48,"23377"
139,"spotify:track:5DkZZnIip2biMlFXb8zgJy","Ollane, Miyagi & Andy Panda","Where Are You","Hajime Records",61,96,3,"23246"
140,"spotify:track:4jPy3l0RUwlUI9T5XHBW2m","24kGoldn, iann dior","Mood (feat. iann dior)","Records/Columbia",15,153,42,"23229"
141,"spotify:track:1qtmO3AkZ2OBrPaxnaKnS6","GONE.Fludd","Проснулся В Темноте","KISS KOALA",48,146,48,"23068"
142,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",6,150,46,"23047"
143,"spotify:track:2AxEUdsrmwEklnwAbZ53QE","MORGENSHTERN, YUNG TRAPPA","FAMILY","YUNG MURDA BOYZ (YMB)",1,112,12,"23004"
144,"spotify:track:4ZZrdvMrb28wnELuJmks9W","MORGENSHTERN","NO MO LUV","Atlantic Records Russia",15,75,3,"22996"
145,"spotify:track:36ONZ2CvV8KsLPapNPGTqa","Måneskin","L'altra dimensione","RCA Records Label",85,85,3,"22860"
146,"spotify:track:7hxHWCCAIIxFLCzvDgnQHX","Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money Records/ TenThousand Projects",10,138,42,"22791"
147,"spotify:track:5Q5A1Ej3bqhlTmr7I0DbS8","ooes","ночь","rabstvo",104,184,4,"22734"
148,"spotify:track:4yyX0nJqMpqaubcGdGsxx9","LXST CXNTURY, Kingpin Skinny Pimp","ODIUM","WHY Z MUSIC",47,144,43,"22708"
149,"spotify:track:0zCgWGmDF0aih5qexATyBn","Mr.Kitty","After Dark","Juggernaut Music Group",97,157,33,"22535"
150,"spotify:track:5rsylaCMgQ5q5IjrZBGm8q","Boulevard Depo","Friendly Fire - Prod. Avepack","Warner Music Russia",8,137,48,"22383"
151,"spotify:track:7mXxcF1nFQvcvANuYwdrv2","KALUSH","Зорi","Columbia Local",27,163,28,"22316"
152,"spotify:track:4a9FufecE8DI2PjiJnLlpS","DOROFEEVA","gorit","MOЗGI Entertainment",11,170,29,"22019"
153,"spotify:track:0ajFqM68Xa5bA0SsyhGU1M","LOBODA","Родной","KISS KOALA",47,159,14,"21955"
154,"spotify:track:4H15QMzixtVgXvaLPzXN3V","Три дня дождя","Демоны","Три дня дождя",154,160,7,"21951"
155,"spotify:track:3MPFuEXwjdrR7yKua2wrUL","Tima Belorusskih","Окей","Kaufman Label",1,166,40,"21906"
156,"spotify:track:4saklk6nie3yiGePpBwUoc","BTS","Dynamite","BIGHIT MUSIC",1,124,42,"21889"
157,"spotify:track:3yqd95PmrKPCm8GatVA34l","MAYOT, FEDUK","Море","cplus",93,152,21,"21848"
158,"spotify:track:30bqVoKjX479ab90a8Pafp","Lil Peep","Star Shopping","Lil Peep",53,149,48,"21776"
159,"spotify:track:5KSRS7HSrJ1unogprz4PuZ","Oleg Miami","Незабываемая","1184096 Records DK",159,-1,1,"21396"
160,"spotify:track:5XT79eo5qaMfNXLpxg055u","Oleg Miami","Нежная принцесса","1184096 Records DK",160,-1,1,"21374"
161,"spotify:track:0Yh0rSeITXsbTwLSAgsd2z","Oleg Miami","Брат, дай бит","MONOLIT",161,-1,1,"21358"
162,"spotify:track:16hvqSkpxHjYssBox5awFr","Lely45","Восемь","Money Gun",35,126,7,"21325"
163,"spotify:track:4dbcqYdUezuLJan7v3Gwou","DJ Tapolsky","Funk Like This","DJ Tapolsky",163,-1,1,"21317"
164,"spotify:track:4DhB2cj6IdRHHBLCSzvUDz","DJ Tapolsky","Wireframe","DJ Tapolsky",164,-1,1,"21308"
165,"spotify:track:73UpEQNrq7KatlAIjg2Q3G","Dany Bit","The Man-Machine","Lena Bit Music",165,-1,1,"21306"
166,"spotify:track:6DLLfD9118xa9O4IrEwDrW","Dany Bit","Suck","Lena Bit Music",166,-1,1,"21301"
167,"spotify:track:0PmNlgMFHEif9HLQuo272l","Dany Bit","One More Night","Lena Bit Music",167,-1,1,"21300"
168,"spotify:track:7bmTsys5qKDb9ZCvjMV9kj","Dany Bit","Sweet Dreams","Lena Bit Music",168,-1,1,"21297"
169,"spotify:track:3Bmpor7ihE7RhMJib4tQin","Dany Bit","Skyfall","Lena Bit Music",169,-1,1,"21296"
170,"spotify:track:7lp8QJaS3UArIVgCKwDPrA","Dany Bit","Godfather","Lena Bit Music",170,-1,1,"21293"
171,"spotify:track:3HnWqNyFsGhe4fHawcLhTK","Dany Bit","Troopa","Lena Bit Music",171,-1,1,"21286"
172,"spotify:track:2uadEMI0kTFiLvvYbfCylm","Dany Bit, Deny Bit","Star Falsion","Lena Bit Music",172,-1,1,"21283"
173,"spotify:track:0MM2jNj1IXBnf3Qgx491ej","Dany Bit","Fire","Lena Bit Music",173,-1,1,"21282"
174,"spotify:track:5RvUTDCR0UVbur1kslEyQS","Dany Bit","Ultrasyd","Lena Bit Music",174,-1,1,"21281"
175,"spotify:track:5Qc8n2ZAbc1UqZbdhj1cl1","Dany Bit","Tetrastar","Lena Bit Music",175,-1,1,"21272"
176,"spotify:track:0ioUsyTHLUayjnWwqtwjVW","Dany Bit","Fun Senast","Lena Bit Music",176,-1,1,"21270"
177,"spotify:track:79xbSxg91OjPBnVPXU7pIK","Dany Bit","Time Machine","bit",177,-1,1,"21266"
178,"spotify:track:125sssKe6BgfDwIJ5aXe3o","Deny Bit","X-Files","Lena Bit Music",178,-1,1,"21266"
179,"spotify:track:3Rr783rnj2QmWjeBlxES4S","Dany Bit","Leisure","Lena Bit Music",179,-1,1,"21265"
180,"spotify:track:1Yl5p4EDkBvLVf8lMcrbW2","Ramil'","Сон","KISSKOALA",80,171,9,"21252"
181,"spotify:track:5pDs6L02QkbwRLkDbOAzPt","LILDRUGHILL, ROCKET","Терминал","OOO Universal Music",76,164,19,"21206"
182,"spotify:track:1f3yAtsJtY87CTmM8RLnxf","Nirvana","Smells Like Teen Spirit","Geffen",114,161,24,"21176"
183,"spotify:track:3yW89uh9Eb8GOu2H6GZeY6","Masked Wolf, Egor Kreed","Astronaut In The Ocean (Remix) - feat. Egor Kreed","Elektra (NEK)",183,-1,1,"21162"
184,"spotify:track:3eekarcy7kvN4yt5ZFzltW","Travis Scott","HIGHEST IN THE ROOM","Cactus Jack / Epic",25,154,48,"21103"
185,"spotify:track:7g9d7JZFkLw3ue8FAOismU","Poshlaya Molly","Нон стоп","SBA Production",146,-1,16,"21095"
186,"spotify:track:3bghEsjRvDLVt6PE3Loc4G","Go_A","Шум","BRYNZA MUSIC",49,78,4,"21002"
187,"spotify:track:0hjhA9lyFJ4wqCmOPRBz1a","LOVV66","Говорят чо","KISSKOALA",131,169,6,"20902"
188,"spotify:track:0e3CM2Fm4cpDtxjzYkdLAr","Minelli","Rampampam","Global Records",188,-1,1,"20783"
189,"spotify:track:0WtaVxcn5mDsGpHNaqHCfw","OG Buda, Платина","Воссап","KISSKOALA",36,178,6,"20756"
190,"spotify:track:60dwJ8dnqZ4WrIdiu7LkNR","Twenty One Pilots","Saturday","Fueled By Ramen",51,115,3,"20414"
191,"spotify:track:5NlUfFPL2z3RWAXy8NcRs8","Big Baby Tape","Gimme The Loot","Warner Music Russia",51,-1,46,"20343"
192,"spotify:track:3oI7ZxNrfL8dvuLZPeKsDf","Serhii Babkin","Вона знає","Сергій Бабкін",185,-1,3,"20295"
193,"spotify:track:7qQ6u1BXb0lys5vuVZkj2h","Miyagi & Andy Panda","Там ревели горы","Hajime Records",25,-1,39,"20273"
194,"spotify:track:2E5NGLtMqDmeijWcntP8Ca","MORGENSHTERN","ICE","Atlantic Records Russia (Distribution)",1,155,40,"20208"
195,"spotify:track:7t3fuKd5h73oppjIgkxZ25","Måneskin","Fear for Nobody","RCA Records Label",113,113,2,"20083"
196,"spotify:track:1SVE1tSjrOiWlxwElO6RAQ","GONE.Fludd","ДРИПСЭТ","KISS KOALA",167,167,2,"19989"
197,"spotify:track:5XFPXH2ieaL05Xgsati1JJ","ROCKET","She Wants","Still Only",81,162,10,"19886"
198,"spotify:track:0s2bQRKvEkKtN647yTZaoG","kizaru, Tory Lanez","Bad Blood","KISS KOALA",9,190,30,"19864"
199,"spotify:track:43PGPuHIlVOc04jrZVh9L6","Polo G","RAPSTAR","Columbia",70,168,9,"19828"
200,"spotify:track:5PfJZqMbH0NZjhI2i9fHuW","MiyaGi","Captain","Hajime Records",134,183,12,"19744"
